false;Der ÖPNV ist kein Corona-Hotspot.;Knut Ringat;Geschäftsführer des Rhein-Main-Verkehrsverbundes (RMV);FAZ vom 30.11.2021;https://www.faz.net/aktuell/rhein-main/region-und-hessen/bus-und-bahn-in-der-pandemie-oepnv-ist-kein-corona-hotspot-17660156.html
false;Schulen sind keine Hotspots und Kinder keine Virusschleudern.;Elternbund Hessen;Elternbund Hessen;Deutsches Schulportal vom 27.11.2021;https://deutsches-schulportal.de/bildungswesen/news-blog-corona-schule-neues-schuljahr/
false;Der Profi-Fußball ist kein Hotspot unter freiem Himmel.;Alexander Wehrle;damaliger Geschäftsführer 1. FC Köln;ARD Sportschau vom 27.11.2021;https://www.sportschau.de/fussball/bundesliga/video-baumgart-habe-noch-von-keinem-stadion-als-hotspot-gehoert-100.html
false;Fußballspiele sind keine Pandemietreiber.;Thomas Hitzlsperger;damaliger Vorstandsvorsitzender VfB Stuttgart;Badische Zeitung vom 19.11.2021;https://www.badische-zeitung.de/hohe-infektionszahlen-aber-volle-stadien--206564896.html
true;Den endemischen Zustand werden wir bis Ende des Jahres [2022] erreicht haben, wir sind praktisch da.;Christian Drosten;Virologe, Charité Berlin;Corona-Pressekonferenz vom 14.01.2022;https://www.youtube.com/watch?v=6e7qQZ9029k
true;Ich bin mir komplett sicher, dass wir wieder so leben werden wie vor der Pandemie.;Christian Drosten;Virologe, Charité Berlin;Tagesspiegel vom 18.01.2022;https://plus.tagesspiegel.de/wissen/virologe-drosten-im-interview-wie-lange-geht-diese-qualerei-noch-weiter-361636.html
false;Wir haben mehr Fälle, weil wir viel mehr als jedes andere Land getestet haben. 60.000.000. Wenn wir weniger testen würden, hätten wir weniger Fälle.;Donald J. Trump;damaliger US-Präsident;Tweet vom 01.08.2020; 
false;Ich denke, wir haben in der Pandemie vermutlich einen besseren Job als jedes andere Land gemacht, auf jeden Fall unter den großen Ländern der Welt.;Donald J. Trump;damaliger US-Präsident;Wahlkampfauftritt Freeland/Michigan am 10.09.2020; 
true;Wenn wir es so eindämmen können (...), dass wir zwischen 100.000 und 200.000 haben, dann haben wir alle zusammen einen guten Job gemacht.;Donald J. Trump;damaliger US-Präsident;Pressekonferenz am 29.03.2020; 
false;It’s going to disappear. One day, it’s like a miracle, it will disappear.;Donald J. Trump;damaliger US-Präsident;Pressekonferenz am 27.02.2020; 
false;Wenn ihr euch impfen lasst, wird der Teufel euren Leib und Seele für immer besitzen!;Attila Hildmann;bekannt geworden als veganer Fernsehkoch;Telegram; 
false;Die überwältigende Mehrheit der Menschen hat verstanden, dass es jetzt auf jeden und jede ankommt. Dass jeder und jede seinen Teil dazu beitragen kann, aber auch muss, das Virus aufzuhalten.;Angela Merkel;damalige Bundeskanzlerin, Deutschland;Pressekonferenz vom 22.03.2020; 
true;Die Lage ist ernst. Nehmen Sie sie auch ernst.;Angela Merkel;damalige Bundeskanzlerin, Deutschland;Fernsehansprache vom 18.03.2020; 
true;Erfahrungsgemäss werden Virus-Epidemien über die Zeit harmloser.;Christian Drosten;Virologe, Charité Berlin;NDR-Podcast vom 09.06.2020; 
true;Das Virus kommt mit dem Auto nach Österreich.;Sebastian Kurz;damaliger Bundeskanzler, Österreich;Pressekonferenz vom 16.08.2020; 
false;Corona ist nur ein weiterer Vorwand, um Milliardensummen aus Deutschland abzuziehen!;Alice Weidel;Fraktionsvorsitzende AfD im Bundestag;facebook vom 27.10.2020;https://www.facebook.com/aliceweidel/photos/a.1063313067013261/3785671881444019/
true;Wir müssen aufpassen, dass wir den Immunitätsgewinn nicht weglockern.;Viola Priesemann;Physikerin, Modelliererin;vom 18.05.2021; 
false;Für die letzten Meter brauchen wir noch einmal eine Kraftanstrengung.;Armin Laschet;damaliger CDU-Vorsitzender und Ministerpräsident NRW;vom 05.04.2021; 
true;Ich beobachte, dass zuvor vom Leben begeisterte, weltoffene, zukunftsmutige Menschen zu Grollbürgern werden.;Sascha Lobo;Journalist;Spiegel Online vom 03.02.2021; 
true;Wir werden einen langen Atem brauchen, um diese Pandemie hinter uns zu lassen.;Jens Spahn;damaliger Bundesgesundheitsminister;vom 23.12.2020; 
false;Wir brauchen eine Konferenz der Länderchefs in dieser Woche. Sonst sterben uns bis Ende Januar 25.000 Menschen. So ein Fest will keiner;Karl Lauterbach;Epidemiologe, SPD (damals noch kein Minister);vom 07.12.2020; 
false;Für mich ist klar, die Schulen und Kitas werden als letztes geschlossen, Schulen und Kitas werden als erstes geöffnet.;Markus Söder;Ministerpräsident Freistaat Bayern;vom 28.10.2020; 
true;Diese APP ersetzt nicht vernünftiges Verhalten und aufeinander achtgeben.;Jens Spahn;damaliger Bundesgesundheitsminister;vom 16.6.2020; 
false;Menschenopfer! Hunde und Katzen leben miteinander! Massenhysterie!;Dr. Peter Venkman;Ghostbusters;Columbia Pictures 1984;
false;Auf der Suche nach unserem Helden Comirnaty erschufen wir deshalb ein Monster: Covid-19;Dr. Vladimir Nekhorvich;Mission: Impossible II (abgewandelt, Original mit Bellerophon und Chimera);Paramount Pictures 2000;
false;Er ist tot, Jim;Dr. Leonard McCoy;Star Trek: The Original Series;Paramount Pictures 1966;
false;Das Virus! Das Virus! (...) Nur Feuer kann es vernichten!;Simon Brandner, Melanie Bröcker;Alarm für Cobra 11 - Die Autobahnpolizei (Folge 237);RTL Television / action concept 2012;
